Model,Canopy_Size,F1_Mean,IoU_Mean,Diam_RMSE,N_Images
Hybrid-v11-SAM,Small (<5m),0.0,0.0,23.70963830913496,4
Hybrid-v11-SAM,Medium (5-8m),,,,0
Hybrid-v11-SAM,Large (>8m),0.7204248769673629,0.796875,10.754830328408588,28
Hybrid-v8-SAM,Small (<5m),0.0,0.0,24.801173697024904,4
Hybrid-v8-SAM,Medium (5-8m),,,,0
Hybrid-v8-SAM,Large (>8m),0.6793526337745293,0.791275,5.718540613653102,28
Mask-RCNN,Small (<5m),0.0,0.0,22.89691701954654,4
Mask-RCNN,Medium (5-8m),,,,0
Mask-RCNN,Large (>8m),0.754615395206369,0.8565678571428571,7.35655927435801,28
YOLOv11-ablation,Small (<5m),0.0,0.0,23.173852819503278,4
YOLOv11-ablation,Medium (5-8m),,,,0
YOLOv11-ablation,Large (>8m),0.696372851882985,0.8478142857142857,5.778983004943739,28
YOLOv11l-seg,Small (<5m),0.0,0.0,21.734199634447087,4
YOLOv11l-seg,Medium (5-8m),,,,0
YOLOv11l-seg,Large (>8m),0.6840392474967232,0.8764714285714286,13.946440795312002,28
YOLOv8l-seg,Small (<5m),0.0,0.0,22.717057352350896,4
YOLOv8l-seg,Medium (5-8m),,,,0
YOLOv8l-seg,Large (>8m),0.6526069873294266,0.8591785714285713,8.578656396629286,28
