Model,GSD,mAP50,mAP50-95,F1_Score,Precision,Recall,Area_RMSE_m2,TP_Total,FP_Total,FN_Total
Mask-RCNN,0.03m,0.733,0.535,0.878,0.9,0.857,50.77,18,2,3
YOLOv11-ablation,0.03m,0.748,0.573,0.85,0.895,0.81,60.9,17,2,4
YOLOv8l-seg,0.03m,0.839,0.613,0.833,0.741,0.952,41.98,20,7,1
YOLOv11l-seg,0.03m,0.748,0.618,0.829,0.85,0.81,46.03,17,3,4
Hybrid-v11-SAM,0.03m,0.568,0.323,0.791,0.773,0.81,47.6,17,5,4
Hybrid-v8-SAM,0.03m,0.571,0.251,0.755,0.625,0.952,36.73,20,12,1
Mask-RCNN,0.04m,0.818,0.635,0.847,0.862,0.833,80.04,25,4,5
YOLOv11l-seg,0.04m,0.777,0.631,0.815,0.917,0.733,76.12,22,2,8
Hybrid-v11-SAM,0.04m,0.7,0.431,0.787,0.774,0.8,75.69,24,7,6
YOLOv11-ablation,0.04m,0.846,0.654,0.786,0.846,0.733,61.33,22,4,8
Hybrid-v8-SAM,0.04m,0.757,0.449,0.767,0.651,0.933,101.74,28,15,2
YOLOv8l-seg,0.04m,0.853,0.672,0.754,0.742,0.767,55.32,23,8,7
Mask-RCNN,0.05m,0.643,0.541,0.635,0.488,0.909,297.16,20,21,2
YOLOv11-ablation,0.05m,0.393,0.32,0.526,0.429,0.682,285.66,15,20,7
YOLOv8l-seg,0.05m,0.286,0.249,0.448,0.361,0.591,293.07,13,23,9
Hybrid-v8-SAM,0.05m,0.513,0.372,0.444,0.32,0.727,317.53,16,34,6
Hybrid-v11-SAM,0.05m,0.41,0.307,0.393,0.308,0.545,322.64,12,27,10
YOLOv11l-seg,0.05m,0.319,0.279,0.377,0.323,0.455,330.22,10,21,12
Mask-RCNN,0.06m,0.548,0.459,0.617,0.5,0.806,368.82,25,25,6
Hybrid-v11-SAM,0.06m,0.68,0.445,0.612,0.481,0.839,362.58,26,28,5
YOLOv11-ablation,0.06m,0.479,0.379,0.559,0.514,0.613,393.6,19,18,12
YOLOv11l-seg,0.06m,0.474,0.386,0.537,0.5,0.581,321.09,18,18,13
Hybrid-v8-SAM,0.06m,0.585,0.383,0.506,0.393,0.71,410.38,22,34,9
YOLOv8l-seg,0.06m,0.363,0.295,0.486,0.436,0.548,384.66,17,22,14
Mask-RCNN,0.08m,0.701,0.559,0.746,0.707,0.791,293.63,53,22,14
Hybrid-v11-SAM,0.08m,0.603,0.428,0.72,0.651,0.806,285.5,54,29,13
YOLOv11-ablation,0.08m,0.692,0.537,0.704,0.759,0.657,181.82,44,14,23
YOLOv11l-seg,0.08m,0.672,0.558,0.693,0.733,0.657,238.76,44,16,23
Hybrid-v8-SAM,0.08m,0.499,0.348,0.649,0.575,0.746,180.37,50,37,17
YOLOv8l-seg,0.08m,0.582,0.456,0.598,0.633,0.567,272.85,38,22,29
Hybrid-v11-SAM,0.15m,0.602,0.354,0.739,0.812,0.677,1207.73,147,34,70
Mask-RCNN,0.15m,0.558,0.373,0.706,0.716,0.696,1149.33,151,60,66
YOLOv11-ablation,0.15m,0.682,0.385,0.655,0.716,0.604,517.56,131,52,86
YOLOv11l-seg,0.15m,0.623,0.446,0.627,0.89,0.484,1729.6,105,13,112
Hybrid-v8-SAM,0.15m,0.458,0.27,0.619,0.616,0.622,805.47,135,84,82
YOLOv8l-seg,0.15m,0.506,0.344,0.567,0.705,0.475,1254.68,103,43,114
Hybrid-v11-SAM,0.1m,0.583,0.421,0.719,0.711,0.727,185.6,64,26,24
YOLOv11l-seg,0.1m,0.624,0.5,0.718,0.824,0.636,226.27,56,12,32
Mask-RCNN,0.1m,0.569,0.432,0.693,0.693,0.693,429.57,61,27,27
Hybrid-v8-SAM,0.1m,0.513,0.359,0.684,0.637,0.739,144.89,65,37,23
YOLOv8l-seg,0.1m,0.548,0.417,0.637,0.708,0.58,269.34,51,21,37
YOLOv11-ablation,0.1m,0.662,0.476,0.61,0.712,0.534,209.83,47,19,41
Mask-RCNN,0.2m,0.57,0.325,0.697,0.72,0.675,1869.0,237,92,114
Hybrid-v11-SAM,0.2m,0.499,0.179,0.676,0.768,0.604,3363.8,212,64,139
Hybrid-v8-SAM,0.2m,0.452,0.169,0.653,0.608,0.704,1668.64,247,159,104
YOLOv11-ablation,0.2m,0.564,0.274,0.649,0.698,0.607,1592.23,213,92,138
YOLOv8l-seg,0.2m,0.551,0.295,0.609,0.715,0.53,2184.14,186,74,165
YOLOv11l-seg,0.2m,0.556,0.317,0.57,0.881,0.422,4043.36,148,20,203
